review,Sentiment
RT @CholorecordsAja: @RealSaavedra @KnorrMelvin @TheShieldWWE @RandPaul @RickSantorum @Hayes1954Hayes @JECarter4 @daveo515 @gunnette @Bieda…,NEUTRAL
i am not happy as i  did a switch over for the 24th and not heard nothing and i did send a massage on facebook about it,NEGATIVE
"@TonyRobbins, Dean Graziosi &amp; @RussellBrunson! These are 3 people I admire the most when it comes to business, succâ€¦ https://t.co/J4Wj5089En",POSITIVE
Sarah Krzyzanowski Elvis Ramos wow,POSITIVE
I have been waiting for business banking 47minutes and still on hold terrible service,NEGATIVE
@driver_x_oz @dkhos @Uber @dkhos was just another @travisk â€” only difference Dara didnâ€™t party around the globe andâ€¦ https://t.co/h3wNK3aUrW,NEGATIVE
"Hi all,

This is an event NOT TO BE MISSED!

Dr. John DeMartini will be in Dublin at the end of May.

Get your tick https://t.co/ifLUl06gGj",NEUTRAL
"@travisk 
SO your company accuses drivers that are war vets that are honest and professional. You guys accuse them… https://t.co/UBT6xJzrEg",NEGATIVE
#Introbiz are so delighted to announce Dr John DeMartini one of the Worlds Top Entrepreneurs will be flying into Caâ€¦ https://t.co/WDMA50Bfmr,NEUTRAL
"@Jason @dkhos @Uber @UberEats â€œMasterful jobâ€ eh? 
@travisk: ðŸ˜ (I built this ish!) lol",NEUTRAL
Dr. John DeMartini has a message for every one https://t.co/eI24xgn9oI,NEUTRAL
@UberINSupport I told you that i need apology from the defaulter rather than your scripted templates. I also need c https://t.co/RCfm4Hveq5,NEGATIVE
"Making my way through this amazing program , thank you so much for the opportunityâ£ï¸ @sportingedgecom @santanderuk @BrunelPDC #SantanderUniGrowth https://t.co/dMqSnqK1oC",POSITIVE
@wiseconnector I said that I would meet Tony Robbins and everyone said that I was nuts but I met him several times!! ??????,POSITIVE
This coming Sunday I will be back at Agape after spending over 100 hours studying with Dr John Demartini. I am so l https://t.co/qQYabRkTZw,NEUTRAL
"#kbbmethod exciting event with Tony Robbins, Dean Graziosi and Russell Brunson!!! ðŸ¤—ðŸ‘ðŸ» https://t.co/5Zwks1ELID",POSITIVE
"@UberINSupport I'm going to uninstall your app, this is pathetic and will raise multiple things and approach furthe https://t.co/JwGz66lVOO",NEGATIVE
Have been on hold to HSBC since 10.00 am this morning.  Call cuts out after 4 hours of waiting so this is the third attempt today. Is anybody there ?,NEGATIVE
I'll think you'll find that EVERY business owner is in fear of being rejected for a loan....,NEGATIVE
"I decided to be better everyday on my work life and relationship.
I started with
1. finish my books list 
2. think positively to every situation in my life 
3. be nice to all people around me
4. be confident to think big

I'm first met Tony on Netflix (where am I such a long time) , You are amazing!!!

I will finish reading your book I promise (trying to get one first)",POSITIVE
I love it. Live by design. Thanks so much Dr. John Demartini,POSITIVE
"@ana_captures Thank you - hope you stay safe out there, too! ðŸ˜Š ^Mill",POSITIVE
"There's no point bothering about anything at the moment, takes age's getting through on the phone and all the local branches shut at 3pm and don't open on Saturdays, not good for those who are working through this epidemic.",NEGATIVE
"@TomBilyeu HeyTom... your insight here resonates so strong in my being, your 100% right. Im 40 yrs old, travelled https://t.co/Iy3CooYG8r",POSITIVE
"Happy 1st Mothers Day Sage! You are positively glowing, the baby is so blessed to have you two as parents!",POSITIVE
"This is going to be Awesome and it begins in less than an hour!! 

Hereâ€™s the link to join in the fun  --&gt;â€¦ https://t.co/OnqbdwzFJT",NEUTRAL
"RT @wilko_k: I consider myself blessed to have worked and studied with some of today's greatest teachers, including Jack Canfield, Dr. Joe…",POSITIVE
"The skillset, without the mindset, will just leave you upset  Dr John DeMartini",NEUTRAL
"@01l_m8nd8r1n @IanKingSky @SkyNews #mtro has plenty of legs. The huge sale to NatWest a couple of weeks ago has transformed the company. The shares are still extremely lowly rated. Patience is key, this will be a big winner, currently 150p far too low on fundamentals. #ftse",POSITIVE
"If you dont fill your day with high priority actions, low priority distractions will fill your day. - Dr John DeMartini @DemartiniDr#",NEUTRAL
That's the balance.of.life...pain.and pleasure..yin yang effectðŸ¥³,NEUTRAL
Using the power of decision gives U the capacity 2 get past any excuse 2 change any &amp; every part of your life in an instant ~ Tony Robbins,NEUTRAL
"Any area of your life that you don't empower is an area someone else will overpower.
â€“Dr John Demartini",NEUTRAL
"@Rich_W17 Good morning, thank you for reaching out to us. We are here to help. Could you send us a DM with your full name, post code, sort code and the last 4 digits of your mobile number, please? Mark https://t.co/BbmcXsMXyM",POSITIVE
"Oh....my.....goodness.... ??

I just finished interviewing Dr John Demartini for my Youtube channel ""Property Lunch with Giuseppe"". I am still shaking ??
Episode will be live tomorrow! https://t.co/X1F7PowloO",POSITIVE
Tony Robbins and Dean Graziosi https://t.co/FWes6CUQ6X To Profit From hiddenâ€ $355 million dollars a day industry.  https://t.co/Tds8YBgvSR,NEUTRAL
Thanks for sharing ðŸ˜Š,POSITIVE
"Natwest is a joke i took 800Â£ out the cash machine 23th december the cash machine went off and it didn't give me any cash! Its come out of my account and there response to me was, this could take 17 working days if i win the case ill get a text message and my money back ?? Just before christmas and thats the best they can do for me. Shocking service! ðŸ˜¡",NEGATIVE
"RT @introbiz: Our Keynote Speaker; Dr John Demartini created programs to assist people with the seven key areas of life: Financial, Social,…",NEUTRAL
"Awesome Quote????
#awesomequote #supercharacter 
#beawesome #awesomeshetty 

@Matt_LeBlanc @JayShettyIW @TheEllenShow @TonyRobbins @rudymancuso 
@BeerBicepsGuy @BeYouNick182 @thetanmay @gaurgopald @TEDTalks 

#Joey #JoeyTribbiani #Friends https://t.co/D0tzGGHh5O",POSITIVE
You haven't helped at all. Reducing the hours of branches but then not changing the rules of what you have to go into branches for. Making life significantly harder not easier.,NEGATIVE
"The next episode has been released featuring special guest Dr. John Demartini. Join us as we discuss finding your values and living them. 
Listen Here: https://t.co/eJ6rNAe5Zk
#standoutX #standout #leadership #success #goals #motivation #careerdevelopment #careergoals #careertips https://t.co/6zz4HGNeZq",POSITIVE
"I have been trying to contact HSBC for two days. I cannot activate my replacement secure key for online banking, I go in store and they tell me to contact by phone. I've been on the phone twice each time on hold for 2 hours. Also, live chat is not working online. I am effectively frozen out of my business account and cannot access. This is now affecting our business. I need this issue to be fixed now because - payments to make ASAP.",NEGATIVE
Then you should tell us at the start there is a problem and not get to 22 minutes in to a call to be cut off.,NEGATIVE
"Tony Robbins, Dean Graziosi &amp; Russell Brunson https://t.co/CnodAYDMXM",NEUTRAL
Just believe and will receive it,NEUTRAL
"Well done to @santanderuk for launching this mentorship scheme for women Entrepreneurs. Good to see you working with @MovingAheadOrg who also run our @30percentclub  #mentorship scheme involving more that 2,600 people. #Smes #WomeninBusiness https://t.co/YQbKhoh42U",POSITIVE
@thomaskaine5 he's like the christian Tony Robbins,NEUTRAL
"?? Im excited to share that next Tuesday, April 30th at 5 PM PT (8 PM Eastern) Ill be sitting down with my dear f https://t.co/TZoSeR0EiJ",NEUTRAL
"This post shouldn't be used for complaints at this time. The Philippines are going through a rough time. Their staff can't get into work.

Please consider those who have lost their lives in the typhoons and have a bit of respect. If you have a Complaint, use other channels. They won't be able to help on facebook because of data protection anyways.

#StaySafePhilippines",NEGATIVE
Be great if you answered your phones Iâ€™ve been on hold for 30 mins to discuss a NatWest error thatâ€™s still not resolved after a month Ana Iâ€™m chasing you.,NEGATIVE
@SadhguruJV @HiteshDharmani3 @Vishen @mindvalley I like them both ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—ðŸ’—,POSITIVE
Can you get that useless automated piece of crap voice recognition sorted. It's useless,NEGATIVE
@VashishtBhupesh @vivekagnihotri @Vishen @mindvalley Very true! No customized immunity boosters 😅😅,POSITIVE
Reading The Breakthrough Experience by Dr. John F. Demartini 📚 https://t.co/20uGrYgWJ1,NEUTRAL
"Vishen, you fâ€™n rule.",POSITIVE
I applied to HSBC bounceback loan in july. I got a conformation email and since have had nothing.  I have spent 7 hours in total listening to the mind warping music on hold and have not spoken to anyone and  have a business account with HSBC. Shocking!,NEGATIVE
Yes I am that out now!!! ðŸŒðŸŒ»ðŸ’šâ˜ºï¸ðŸŒ¼ðŸµï¸,NEUTRAL
RT @yekko: @travisk if you are still affiliated w/@UberEats tell them to give me my $20 back. I had to handle my food issues myself after t…,NEGATIVE
Your past does not equal your future. #leadership Tony Robbins #quote,NEUTRAL
Adam Packer living by design ??,NEUTRAL
"Whats the point of cancelling my transaction, telling me to call you then not having anyone answer the phone... OVER 2 HOURS ON HOLD RIDICULOUS",NEGATIVE
"Delighted to confirm that @great_together @superjam on Sun 21 Feb, we shall be supporting Sean Mills, Business Banking Manager @santanderuk South Yorkshire &amp;East Midlands' team fundraiser for @alzheimerssoc Everyone welcome for hour of live music with fantastic Catherine Rannus https://t.co/RPiTlOb1P4 https://t.co/pncRsNmIIe",POSITIVE
@ldngirl2016 Thank you! I've responded to your DM. - Rae ðŸ˜Š,POSITIVE
"It should be blind recruitment. Remove from the application form the name, gender, age, address, school, university etc. It should be based purely on experience and qualifications. Interview stage should be the first time you know the answer to the above.  ",NEGATIVE
"I PARTNERED WITH TONY ROBBINS, DEAN GRAZIOSI AND RUSSELL BRUNSON!
3 people I admire the most when it comes to businâ€¦ https://t.co/7ujMY6HQAe",POSITIVE
No the aren't. You've hung up on me twice today,NEGATIVE
@BHARDWAJAMAN11 @Uber_Support @prabhjeet_s @travisk Main culprit behind this issue is https://t.co/XOswvo712b earn https://t.co/uZ9UdhP6IK,NEUTRAL
@dennishegstad @travisk started from the ....,NEUTRAL
"Tony Robbins, Dean Graziosi &amp; Russell Brunson LIVE! https://t.co/5pVIPahB72 via @YouTube",NEUTRAL
"Tony Robbins, Dean Graziosi &amp; Russell Brunson going LIVE! Register Now! https://t.co/O5yUxNPFLV #tonyrobbins https://t.co/NcJYWH1N2B",NEUTRAL
"Think about, talk about, plan for - the things you want, otherwise ... as Dr John Demartini says - you get the oppo https://t.co/tMnGRNxBFT",NEUTRAL
"With the global thought leader..Dr John Demartini 
business growth summit

#corevalues https://t.co/gEj8iIDv5X",NEUTRAL
RT @WilliamABurnell: A quality life demands quality questions. - Dr. John Demartini #quote #ThankfulThursday https://t.co/Ty6HpAlh8n,NEUTRAL
What a great night not to have a Barclays club you have a soft spot for.,POSITIVE
A quality life demands quality questions. - Dr. John Demartini #quote #ThankfulThursday https://t.co/PS697x8a8z,NEUTRAL
"@croxswap Good project

@AhmadGaus 
@KingJames 
@travisk 

0x1257e7F6e6e469669DB0743aC7b8C0a3bd27291c",POSITIVE
"Thank you @LloydsBank &amp; Angela for reassuring me today. Be aware folks, loads of very sophisticated attempts to scam you are out there. The bank would rather you checked than clicked- even if it is genuine.",POSITIVE
I have sent many times an email for personal coaching since I highly believe it's gonna improve my life tremendously.I haven't seen a reply though.Can you please look into it.Thank you!,NEUTRAL
HSBC are threatening to close bank accounts if you do not wear a mask. This will soon change to if you havent been vaccinated be under no doubt. If you have an account with HSBC I would suggest you cancel it now. This kind of totalitarian behaviour is not acceptable.,NEGATIVE
"Anyone else had this when clicking ""Third Party Permissions"" on the Settings screen in the app? Can't upload the screen shot though.

""There has been a data breach at natwestsecure1.com. Chrome suggests you change your password now!""

Anyone???",NEGATIVE
"The book on Karma by Sadhguru is a very good guide book to try, grasp and put to practice ways to handle our Karma.",POSITIVE
"RT @introbiz: Not long left to go, until Star of #TheSecret and Global entrepreneur; Dr John Demartini is in Cardiff for our Networking Bre",NEUTRAL
HSBC THIS BANK IS A BIGGEST SCAMMERS!!!!! Our family is  absolutely disgusting with them. My husband began a credit dispute to get about Â£ 470 back from the hotel in Russia which refused pay us back as our holidays were cancel due to COVID last year. And actually Hotel cancelled  our bookings due the COVID! This is STRAIGHT FORWARD CASE !!! My husband contacted this scammers HSBC they asked him to send all information. My husband sent an actual email from the hotel where says your  bookings are cancelled due to COVID!!!  My husband sent this on 25.08.2020. WE DIDNâ€T GET ANY MONEY BACK FFOM HSBC!!! We tried to contact them by email by phone and we didnâ€™t get anywhere!!!! IT IS ABSOLUTELY SCANDALOUS!!!! CREDIT CARD IS PROTECTING PEOPLE FROM TO BE ROBBED AND WHAT HSBC DONE ?! HSBC ROBBED OUR FAMILY!!!! WE WILL TAKE A LEGAL ACTION AGAINST SCAMMERS HSBC THEY DIDNâ€™T FULFILL THEIR OBLIGATIONS TO THEIR CLIENT!!!!!,NEGATIVE
"Tony Robbins, Dean Graziosi &amp; Russell Brunson LIVE! https://t.co/CMhHxnVw6k via @YouTube",NEUTRAL
"How about making some updates to your UK staff pensions.  52,000 suffering outdated, unfair and immoral clawback. Some of the lowest paid staff now having 30% of their already small pension taken back, although you look after the senior managers by only taking back 2% from their high pensions! Time to do the right thing HSBC. Ian Stuart, Noel Quinn take a good look at your group standards and then try applying them to your older and longer serving staff and pensioners. Remove clawback. See www.midlandclawbackcampaign.co.uk",NEGATIVE
@Uber @travisk thabk you for charging me a $28 surge fee on a $12 ride and not telling me until the end of the rideâ€¦ https://t.co/KtFj1owEOP,NEGATIVE
"The lit Martini: put 1/4 of Chocolate liqueur. Add 7/9 of coke, and 1/8 of lime juice. Shake. 
Down it like @travisk.

Biba !",NEUTRAL
RT @markley_jules: @Uber_Support so your telling me that this guy can stay active but my account that has everything approved got deactivat,NEGATIVE
"@UberINSupport @prabhjeet_s @travisk @PrParameswaran Not disclosing the destination leads to trip cancellation

Whyâ€¦ https://t.co/kXLiCYLlIy",NEGATIVE
Understanding ADHD | Dr John Demartini https://t.co/4T0wy45ViZ,NEUTRAL
"Agree 100%. To-do list and plan are only a picture, a way. As you said, we need to lead our life, not opposite. Otherwise people don't know to where they go and what kind results they achieve. From another side I met many people who wants to finish everything by plan and received a lot of stress, depression and self demotivation.",POSITIVE
Uber Lyft blame the fact that drivers don't want to be ass raped by Uber Lyft anymore on the fact Uber Ltft can't sâ€¦ https://t.co/SoH7YaDrbP,NEGATIVE
Thank you Dr. Demartini ??,POSITIVE
Improvement on your app would be nice. Its shocking.,NEGATIVE
"Hi all,

This is an event NOT TO BE MISSED!

Dr. John DeMartini will be in Dublin at the end of May.

Get your tickâ€¦ https://t.co/ifLUl06gGj",NEUTRAL
"Someone from NatWest needs to contact me right now, said they were transferring me to complaints team but they pressed wrong button and hung up, a long list of complaints is piling up!",NEGATIVE
I am in UK and our kids are sitting their A level exams at moment. A few weeks ago a local girl in a high pressure academic school very sadly took her life. Her peers are describing the atmosphere as being identical to this video. Completely the opposite to the way we could and should love and nurture young human beings XX????. Well done for highlighting this issue Tony Robbins ????,POSITIVE
Thank you for sharing this ðŸ™,POSITIVE
"Why not just treat everyone the same and forget about all these labels? All labels do is Divide people. One race, the human race â¤ï¸",NEGATIVE
@LloydsBank Many thanks,POSITIVE
Whatever,NEGATIVE
"If you find this idea interesting, check this link: https://t.co/YPA5pRc6oO",NEUTRAL
"✔An extraordinary message from Dr. John Demartini for the Brainstorm Strategy entrepreneurship community.
↪We are h… https://t.co/Xr5mP9vHtW",POSITIVE
Love it! I needed to hear it today! Thank you very much! <3,POSITIVE
