,review,Sentiment,words_entity_spacy,words_entity_bert
10,Great help.. ðŸ‘Œ,POSITIVE,[],[]
11,@NatWest_Help Thanks for the speedy reply! Itâ€™s 07971 959770.,POSITIVE,"[('07971 959770', 'Absolute or relative dates or periods')]","[('Nat', 'B-MISC'), ('##W', 'I-ORG'), ('##est', 'I-ORG'), ('Help', 'I-ORG')]"
12,"RT @nikkiviljoen: ""The more you are grateful for what you have the more you will get to be grateful for."" Dr. John Demartini #ThinkBIGSunda",NEUTRAL,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('Think', 'B-ORG'), ('##BI', 'I-ORG')]"
13,"HSBC's treatment of their business customers is abolutley shocking, I have been with the bank for 6 and half years running a small but profitable limited company, all of a sudden my accounts are all frozen, after spending a full day on hold nobody would tell me why, 5 days later I receive a letter saying the account is going to be shut down, no explanation as to why and I can't even get in touch with anyone to find out what is going on. This treatment is absolutley disgusting, they have crippled my business for no good reason. I run a small online company and can think of no reason why my account should be closed down. I would advise anyone thinking of opening an account with HSBC to think twice before they do, a simple search online will highlight the fact that I am not the only one who has had their business account closed without warning, HSBC have closed down hundreds of business accounts in the UK without warning or explanation, sort it out HSBC ",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('6 and half years', 'Absolute or relative dates or periods'), ('5 days later', 'Absolute or relative dates or periods'), ('HSBC', 'Companies, agencies, institutions, etc.'), ('HSBC', 'Companies, agencies, institutions, etc.'), ('hundreds', 'Numerals that do not fall under another type'), ('UK', 'Countries, cities, states'), ('HSBC', 'Companies, agencies, institutions, etc.')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('UK', 'B-LOC'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG')]"
14,"Nopety, Nope, Nope, Nope.",NEGATIVE,"[('Nopety', 'Companies, agencies, institutions, etc.')]",[]
15,@LeedsTransLad @StopFundingHate @LloydsBank @triodosuk is a good choice. I have just opened an account. Itâ€™s an on line bank based in Bristol and ethical.,POSITIVE,"[('Bristol', 'Countries, cities, states')]","[('Leeds', 'B-ORG'), ('##T', 'I-ORG'), ('##ran', 'I-ORG'), ('##s', 'I-ORG'), ('##L', 'I-ORG'), ('##ad', 'I-ORG'), ('Lloyd', 'B-ORG'), ('##s', 'I-ORG'), ('##B', 'I-ORG'), ('##an', 'I-ORG'), ('##k', 'I-ORG'), ('Bristol', 'B-LOC')]"
16,"Ripple up ~2x from thread starting. I suppose a true utility coin would outlast its corrupt leadership. $XRP 

Stil https://t.co/cIrDKdzpnw",NEGATIVE,[],[]
17,"Stay committed to your decisions, but stay flexible in your approach. - Tony Robbins #entrepreneur",NEUTRAL,"[('Tony Robbins', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER')]"
18,I just want to leave home.,NEUTRAL,[],[]
19,"Money without meaning leads to debauchery and money with meaning leads to philanthropy. - Dr John Demartini shares his wealth wisdom in part two of our interview on this latest episode of The Wealth Faculty. ?

?? Tune in here ??
https://t.co/jCRSicpRxV https://t.co/Gm3gTPtutb",POSITIVE,"[('John Demartini', 'People, including fictional'), ('two', 'Numerals that do not fall under another type'), ('The Wealth Faculty', 'Companies, agencies, institutions, etc.')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('The', 'B-ORG'), ('We', 'I-ORG'), ('##al', 'I-ORG'), ('##th', 'I-ORG'), ('Faculty', 'I-ORG')]"
20,@UoSLaunch @salfordbizsch Thank you @santanderuk #santanderuniuk for funding our internship program! With your grant we were able to give valuable experience to our intern @ClauSava10 https://t.co/ibQUptjJj3,POSITIVE,[],"[('##SL', 'I-ORG'), ('##S', 'I-ORG')]"
21,"Shout out to @HollyLTucker founder of @notonthehighst &amp; Holly &amp; Co, who in partnership with NatWest runs #ConversationsofInspiration, a podcast designed to share advice &amp; inspiration for business, celebrating their 100th episode this week! 

Find out more:
https://t.co/Q1MX5KiiPH https://t.co/eqtpdKq5CV",POSITIVE,"[('@notonthehighst &', 'Companies, agencies, institutions, etc.'), ('Holly &', 'Companies, agencies, institutions, etc.'), ('NatWest', 'Companies, agencies, institutions, etc.'), ('ConversationsofInspiration', 'Companies, agencies, institutions, etc.'), ('100th', '""first"", ""second"", etc.'), ('this week', 'Absolute or relative dates or periods')]","[('Holly', 'B-ORG'), ('##LT', 'I-ORG'), ('##uck', 'I-ORG'), ('##er', 'I-ORG'), ('Holly', 'B-ORG'), ('&', 'I-ORG'), ('am', 'I-ORG'), ('##p', 'I-ORG'), (';', 'I-ORG'), ('Co', 'I-ORG'), ('Nat', 'B-ORG'), ('##W', 'I-ORG'), ('##est', 'I-ORG')]"
22,"@UberINSupport @prabhjeet_s @travisk @PrParameswaran Not disclosing the destination leads to trip cancellation

Why… https://t.co/kXLiCYLlIy",NEGATIVE,"[('@prabhjeet_s', 'People, including fictional')]","[('U', 'B-ORG'), ('##IN', 'I-ORG'), ('##P', 'I-ORG'), ('##ara', 'B-PER')]"
23,Hopeless state of affairs.my business is suffering as a result of your inability to provide  a basic service. Pin number not arrived after nearly two weeks. garbage,NEGATIVE,"[('nearly two weeks', 'Absolute or relative dates or periods'), ('garbage', 'Companies, agencies, institutions, etc.')]",[]
24,Knowledge Business Blueprint (KBB) - Dean Graziosi https://t.co/n4CiaPPJ1O,NEUTRAL,"[('Knowledge Business Blueprint', 'Companies, agencies, institutions, etc.')]","[('Knowledge', 'B-ORG'), ('Business', 'I-ORG'), ('Blue', 'I-ORG'), ('##print', 'I-ORG'), ('K', 'B-MISC'), ('##BB', 'I-ORG'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('##i', 'I-PER')]"
25,Your words are welcome to heal us.... Thank so much for your deepest and biggest contribution to humankind by providing it your wisdom.,POSITIVE,[],[]
26,""" Set yourself some type of reward for doing well in life and for doing your best on all occasions. This can transf… https://t.co/6fWKqO8j1k",NEUTRAL,[],[]
27,"Weâ€™re pleased to announce weâ€™ll be hosting a masterclass with leading entrepreneur; Dr. John Demartini, star of theâ€¦ https://t.co/LLZtpjvBcF",NEUTRAL,"[('John Demartini', 'People, including fictional'), ('¦', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
28,"RT @Mwizu_kanji: Whatever we think about and thank about we bring about.

Dr. John Demartini",NEUTRAL,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
29,@UberINSupport @prabhjeet_s @travisk @PrParameswaran The complaint form has no section to report the drivers who don’t undertake trips,NEGATIVE,"[('@prabhjeet_s @travisk', 'People, including fictional')]","[('U', 'B-ORG'), ('##IN', 'I-ORG'), ('##P', 'I-ORG'), ('##ara', 'I-ORG'), ('##mes', 'I-ORG')]"
30,I've done this but I need more juice. I am still afraid to go All in.,NEUTRAL,[],[]
31,"“I worked so hard, and have so much failure in doing so; that it makes me the non luckiest entrepreneur, I’d go up… https://t.co/ziR0S5mjfq",NEUTRAL,[],[]
32,I was really inspired by Dr John Demartini’s seminar at the Bloomsbury last evening and this thought provoking quot… https://t.co/Oo9rauNnoK,POSITIVE,"[('John Demartini’s', 'People, including fictional'), ('Bloomsbury', 'Companies, agencies, institutions, etc.'), ('last evening', 'Times smaller than a day')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER'), ('Bloom', 'B-LOC'), ('##sbury', 'I-LOC')]"
33,Applied for Bounce Back Loan over 2 months ago and still waiting to get even a reply!! Any attempt to get information has been ignored. HSBC is definitely not the bank when it comes to small business support !!,NEGATIVE,"[('Bounce Back Loan', 'Companies, agencies, institutions, etc.'), ('2 months ago', 'Absolute or relative dates or periods'), ('HSBC', 'Companies, agencies, institutions, etc.')]","[('Bo', 'B-ORG'), ('##un', 'I-ORG'), ('##ce', 'I-ORG'), ('Back', 'I-ORG'), ('Lo', 'I-ORG'), ('##an', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'B-ORG'), ('##C', 'I-ORG')]"
34,Thank you for sharing this critical information.,POSITIVE,[],[]
35,New To Market | Tony Robbins Knowledge Business Blueprint: Create Your Successful Mastermind. Hosts: Tony Robbins D https://t.co/LwxE4wGsow,NEUTRAL,"[('Tony Robbins Knowledge Business Blueprint:', 'Companies, agencies, institutions, etc.'), ('Tony Robbins', 'People, including fictional')]","[('To', 'I-MISC'), ('Market', 'I-MISC'), ('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Business', 'I-MISC'), ('Tony', 'B-PER'), ('Robbins', 'I-PER')]"
36,Tony Robbins is prepared to become a part-owner of a NASCAR team https://t.co/JxtGlUxfis,NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('NASCAR', 'Companies, agencies, institutions, etc.')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('NASCAR', 'B-ORG')]"
37,@travisk what’s up with @Uber @Uber_Support stealing people money? #fuckuber #uberstealsmoney @Twitter @CNN @FoxNews,NEGATIVE,"[('#fuckuber #', 'Monetary values, including unit')]","[('CNN', 'B-ORG'), ('Fox', 'B-ORG'), ('##N', 'I-ORG'), ('##ews', 'I-ORG')]"
38,Why has it taken you all this time to bring it up are you that short on publicity,NEGATIVE,[],[]
39,"With interest rates as they are, thereâ€™s no point or insensitive to save.  Iâ€™ve even heard rumours about NEGATIVE interest rates which would mean we have to PAY the bank to store our money ðŸ˜³",NEGATIVE,"[('NEGATIVE', 'Companies, agencies, institutions, etc.')]",[]
40,@travisk Uber is failing its transition to electric vehicles. The app is clearly structured for fossil fuel vehicle https://t.co/7wAfkHE7A0,NEGATIVE,"[('@travisk Uber', 'Companies, agencies, institutions, etc.')]","[('U', 'I-ORG'), ('##ber', 'I-ORG')]"
41,"We're delighted that Score Group has been included in The Sunday Times HSBC International Track 200 league table.

https://t.co/PCL2YhSxJc

#ScoreGroup #HSBCIntTrack200 #valves #fuelsystems #components #manufacturer https://t.co/9P0AVmi3h8",POSITIVE,"[('Score Group', 'Companies, agencies, institutions, etc.'), ('The Sunday Times HSBC International', 'Companies, agencies, institutions, etc.'), ('200', 'Numerals that do not fall under another type'), ('#ScoreGroup #', 'Monetary values, including unit'), ('#fuelsystems #', 'Monetary values, including unit'), ('#', 'Numerals that do not fall under another type')]","[('Score', 'B-ORG'), ('Group', 'I-ORG'), ('The', 'B-ORG'), ('Sunday', 'I-ORG'), ('Times', 'I-ORG'), ('H', 'B-MISC'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('International', 'I-MISC'), ('Track', 'I-MISC'), ('200', 'I-MISC')]"
42,RT @muz4now: A quality life demands quality questions. - Dr. John Demartini #ThankfulThursday https://t.co/Z1AQa0RKvR,NEUTRAL,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
43,"@LloydsBank good evening, I have sent you a DM, please help. Thank you",POSITIVE,"[('@LloydsBank', 'Companies, agencies, institutions, etc.'), ('evening', 'Times smaller than a day'), ('DM', 'Companies, agencies, institutions, etc.')]","[('Lloyd', 'B-ORG'), ('##s', 'I-ORG'), ('##B', 'I-ORG'), ('##an', 'I-ORG'), ('##k', 'I-ORG'), ('D', 'B-MISC')]"
44,"For more protection against fraud, don't use HSBCs online banking and don't trust their incompetent fraud department that blocks your transactions but allows fraudulent transactions and does nothing because they expect you to know all about it",NEGATIVE,[],"[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##Cs', 'I-ORG')]"
45,Terrible customer service!! Impossible to get through to a human being! 2hrs on hold and basically an online chat with a robot dishing out automated responses and copy and pasting rubbish.,NEGATIVE,[],[]
46,"@eddiemulh Hello Eddie, we appreciate you sharing this! Can you send it to phishing@hsbc.co.uk , and delete it after and thanks for helping us stop scams. These text messages can be so annoying from the scammers. Keep your information safe at all times ðŸ‘ ^Ank.",POSITIVE,[],"[('Eddie', 'B-PER')]"
47,"I bank with Santander, but opened a basic account as an executor account with HSBC at the branch where my dad banked. I have a secure key to log on, but every time I try to pay beneficiary's they stop the payment and suspend the account. I did talk with them over the phone, explained everything AND GUESS WHAT THEY SUSPENDED THE ACCOUNT AGAIN! Infuriating...this time told to go to the branch, which of course is closed. Would never had had this problem if I had put the money in my Santander account.",NEGATIVE,"[('Santander', 'Companies, agencies, institutions, etc.'), ('HSBC', 'Companies, agencies, institutions, etc.')]","[('Santa', 'B-ORG'), ('##nder', 'I-ORG'), ('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG'), ('Santa', 'B-ORG'), ('##nder', 'I-ORG')]"
48,RT @NIGHTRUN51: @timothysykes Watched the interview with Dean Graziosi. I get pumped whenever he starts talking. Awesome video! Other peopl…,POSITIVE,"[('Dean Graziosi', 'Companies, agencies, institutions, etc.')]","[('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER')]"
49,ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘,NEUTRAL,"[('ðŸ‘\x8fðŸ‘\x8fðŸ‘\x8fðŸ‘\x8fðŸ‘\x8fðŸ‘\x8f', 'Countries, cities, states')]",[]
50,"@sarthakgh This is where I was particularly grateful for @travisk and @jeffholden's early leadership in enforcing ""… https://t.co/kbze1Jml9B",POSITIVE,"[('@travisk', 'Nationalities or religious or political groups')]",[]
51,"Apologies for my english ðŸ‘Buth i'm the customer for 4 years  on Natwest I tried too apply for business acount For Solo trader Self employment and they give me decline I don't recommend i closed all acount from Natwest i give you NEGATIVE feedback 
Apologies again for my englishðŸ˜ŠðŸ‘ðŸ‘ðŸ‘",NEGATIVE,"[('english', 'Any named language'), ('4 years', 'Absolute or relative dates or periods'), ('Natwest', 'Companies, agencies, institutions, etc.'), ('Solo', 'People, including fictional'), ('Natwest', 'Companies, agencies, institutions, etc.'), ('NEGATIVE', 'Companies, agencies, institutions, etc.'), ('Apologies', 'Countries, cities, states')]","[('Nat', 'B-ORG'), ('##wes', 'I-ORG'), ('##t', 'I-ORG'), ('Nat', 'B-ORG'), ('##wes', 'I-ORG'), ('##t', 'I-ORG')]"
52,Este banco es uno de los mÃ¡s fraudulentos de Inglaterra a. Mi me estafaron en 250 mil dÃ³lares le pedÃ­ ayuda pues la estafa era con ellos hasta el dÃ­a de hoy solo me responden que haga los reclamos en inglÃ©s que insÃ³lito son tan estafadores como los que me estafaron,NEGATIVE,"[('Inglaterra a. Mi', 'Companies, agencies, institutions, etc.'), ('250', 'Numerals that do not fall under another type'), ('la estafa era', 'People, including fictional'), ('ellos hasta el dÃ\xada de hoy', 'People, including fictional'), ('los reclamos', 'Countries, cities, states'), ('©s que', 'Objects, vehicles, foods, etc. (not services)'), ('insÃ³lito', 'People, including fictional'), ('tan estafadores como los', 'Companies, agencies, institutions, etc.'), ('estafaron', 'Companies, agencies, institutions, etc.')]","[('In', 'B-LOC')]"
53,@travisk @LuminousAI Rot in hell SOB,NEGATIVE,"[('@travisk @LuminousAI Rot', 'Companies, agencies, institutions, etc.')]",[]
54,"@tammyerickson - the rules of the game are changing. â€œHave a growth mindset. Looking at a problem not as a NEGATIVE but an opportunity for creativity.â€ 

How do we put things together in new ways and move forward? Good nightðŸŒƒ @thesportingedge @santanderuk #SantanderUniGrowth",POSITIVE,"[('NEGATIVE', 'Companies, agencies, institutions, etc.'), ('creativity.â€\x9d', 'People, including fictional')]","[('Santa', 'B-ORG'), ('##nder', 'I-ORG')]"
55,Happy Motherâ€™s Day Sage. You are an inspiration to so many of us. Enjoy your first of many days that celebrate moms!,POSITIVE,"[('first', '""first"", ""second"", etc.')]",[]
56,Mindvalley I have everything nothing else to decide.,NEUTRAL,"[('Mindvalley', 'People, including fictional')]","[('Mind', 'B-ORG'), ('##val', 'I-ORG'), ('##ley', 'I-ORG')]"
57,RT @ClaudioGT: A quality life demands quality questions. - Dr. John Demartini #quote #ThankfulThursday https://t.co/9J9iRKXMQt,NEUTRAL,"[('John Demartini', 'People, including fictional'), ('ThankfulThursday', 'Monetary values, including unit')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
58,FRAUD on my business account. 3 hours on hold for 3 consecutive days. No attempt to resolve.,NEGATIVE,"[('FRAUD', 'Companies, agencies, institutions, etc.'), ('3 hours', 'Times smaller than a day'), ('3 consecutive days', 'Absolute or relative dates or periods')]",[]
59,"â€œKnow that youâ€™ve mastered your life, When the voice and the vision on the inside become more profound, clear and lâ€¦ https://t.co/nXNCVCheV6",NEUTRAL,"[('¦', 'People, including fictional')]",[]
60,Calling you since July to solve my online security settings...and still not working. It's a joke. Definitely changing this bank asap,NEGATIVE,"[('July', 'Absolute or relative dates or periods')]",[]
61,@Breedlove22 You are becoming the Tony Robbins of #Bitcoin (lookswise) lol and passion and brilliance of course. Sending all my support.,NEUTRAL,"[('the Tony Robbins', 'Buildings, airports, highways, bridges, etc.'), ('Bitcoin', 'People, including fictional')]","[('Bree', 'B-LOC'), ('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Bit', 'B-ORG'), ('##co', 'I-MISC')]"
62,"No they are not, 45 mins and I still canâ€™t get through !!!! 2 weeks now Iv been trying to get through to the business disputes team. Asked for callback never got one. Iv filled a form in heard nothing. Everytime Iv called Iv been waiting an hour to get through this is not just today it has been everyday for past 2 weeks. Itâ€™s not acceptable will someone call me back",NEGATIVE,"[('45', 'Numerals that do not fall under another type'), ('2 weeks', 'Absolute or relative dates or periods'), ('an hour', 'Times smaller than a day'), ('today', 'Absolute or relative dates or periods'), ('2 weeks', 'Absolute or relative dates or periods')]","[('I', 'B-PER'), ('I', 'B-PER')]"
63,@CV_UHB @santanderuk @relaxkids Thank you for the donations. This week treats and well-being bags  were sent into UHW &amp; Llandough. #NHS #kindness https://t.co/Bs1uMMy9nq,POSITIVE,"[('@CV_UHB @santanderuk', 'Companies, agencies, institutions, etc.'), ('This week', 'Absolute or relative dates or periods'), ('UHW &', 'Companies, agencies, institutions, etc.'), ('Llandough', 'Companies, agencies, institutions, etc.')]","[('U', 'B-ORG'), ('L', 'B-LOC'), ('##land', 'I-LOC')]"
64,@smdcapital @TrungTPhan @travisk ...Built a couple biz too.,NEGATIVE,"[('@smdcapital @TrungTPhan @travisk', 'People, including fictional')]",[]
65,"Tony Robbins and Dean Graziosi are such amazing mentors!

#kbbmethod https://t.co/Yk9NTQJa3u",POSITIVE,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi', 'Companies, agencies, institutions, etc.'), ('#', 'Numerals that do not fall under another type')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER')]"
66,Iâ€™ll be leaving soon as I can. Really bad bank from the time I switched to them,NEGATIVE,[],[]
67,@Uber_Support @travisk @travisk ALERT UR PUPPET CEO @dkhos,NEGATIVE,[],"[('Support', 'I-ORG'), ('P', 'B-MISC'), ('##UP', 'I-MISC')]"
68,"@travisk Mister Travis
I send you from Cairo.
There is a disaster in Uber because of the support staff and their t https://t.co/7W2pogcIE1",NEGATIVE,"[('Travis', 'People, including fictional'), ('Cairo', 'Countries, cities, states'), ('Uber', 'People, including fictional')]","[('Travis', 'I-PER'), ('Cairo', 'B-LOC'), ('U', 'B-ORG'), ('##ber', 'I-ORG')]"
69,"HSBC customer service is quite frankly disgusting at the moment. Organisations have had 7 months to put measures in place and yet still appallingly slow service is being blamed on COVID-19. Last week took 6 attempts to obtain a redemption statement, by the time it was finally sent the expiry date meant not enough time to complete on a new mortgage so back to square one. New one requested on 24th, here we are 6 days later and still no sign of it. Not good enough.",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('7 months', 'Absolute or relative dates or periods'), ('Last week', 'Absolute or relative dates or periods'), ('6', 'Numerals that do not fall under another type'), ('24th', '""first"", ""second"", etc.'), ('6 days later', 'Absolute or relative dates or periods')]","[('H', 'B-ORG'), ('##SB', 'B-ORG'), ('##C', 'I-ORG')]"
70,"I have been asking for HSBC to resolve an issue since Friday. I have been on phone all day today on hold.  Shocking service. I have lost business because of it.  Am still on hold now, waiting to speak to a ""manager"" who said she would call back 2  hours ago.",NEGATIVE,"[('HSBC', 'Companies, agencies, institutions, etc.'), ('Friday', 'Absolute or relative dates or periods'), ('all day', 'Absolute or relative dates or periods'), ('today', 'Absolute or relative dates or periods'), ('2 hours ago', 'Times smaller than a day')]","[('H', 'B-ORG'), ('##SB', 'I-ORG'), ('##C', 'I-ORG')]"
71,HSBC telephone banking is an appsalupely useless service its not fit for purpose I think the advisors have fell asleep on the other end of the line.,NEGATIVE,[],"[('H', 'B-ORG'), ('##SB', 'B-ORG'), ('##C', 'I-ORG')]"
72,"Tony Robbins, Dean Graziosi &amp; Russell Brunson LIVE! https://t.co/ipjh4DXEWZ via @YouTube",NEUTRAL,"[('Tony Robbins', 'People, including fictional'), ('Dean Graziosi &', 'Companies, agencies, institutions, etc.'), ('Russell Brunson LIVE', 'People, including fictional')]","[('Tony', 'B-PER'), ('Robbins', 'I-PER'), ('Dean', 'B-PER'), ('G', 'I-PER'), ('##raz', 'I-PER'), ('##ios', 'I-PER'), ('Russell', 'B-PER'), ('B', 'I-PER'), ('##run', 'I-PER'), ('##son', 'I-PER')]"
73,I resolved to succeed and do what it takes to achieve positive changes in my life regardless of circumstances. I will be outstanding!,NEUTRAL,[],[]
74,This bank is the worst bank in the UK I have opened this bank for seven months but so far I am deprived of all services despite the fact that I have dealt with the bank's rules and now I think through my request i will make a big complain on the manager of this bank in Piccadilly,NEGATIVE,"[('UK', 'Countries, cities, states'), ('seven months', 'Absolute or relative dates or periods'), ('Piccadilly', 'Countries, cities, states')]","[('UK', 'B-LOC'), ('Pi', 'B-LOC'), ('##cca', 'I-ORG'), ('##di', 'I-ORG'), ('##lly', 'I-LOC')]"
75,"@TonyRobbins I specially welcome you to the month of June, your month of unending praise for the victories you will experience in all areas of ur life. I wish you a happy super fantastic new month",NEUTRAL,"[('the month of June', 'Absolute or relative dates or periods'), ('month', 'Absolute or relative dates or periods')]","[('Tony', 'B-PER'), ('##R', 'I-PER'), ('##ob', 'I-PER'), ('##bin', 'I-PER')]"
76,On this Monday I am thankful for aged Barclays linked to Luno ðŸ™,POSITIVE,"[('Monday', 'Absolute or relative dates or periods'), ('Barclays', 'Absolute or relative dates or periods'), ('Luno', 'People, including fictional')]","[('Barclay', 'B-ORG'), ('Lu', 'B-PER')]"
77,"I like this new youðŸ˜„ It suite you really good , now days ðŸ˜‚â¤ï¸ðŸ‘Œ",POSITIVE,"[('days', 'Absolute or relative dates or periods')]",[]
78,"Dr John Demartini, well, he was worth the wait. I've heard a lot about him and tonight my son and I have experience… https://t.co/VK0t5gNZ6e",POSITIVE,"[('John Demartini', 'People, including fictional'), ('tonight', 'Times smaller than a day')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER'), ('##ini', 'I-PER')]"
79,Unless you have goals beyond your life you probably won't get a life'- Dr John Demartini #quote https://t.co/KRUrr715Y0,NEUTRAL,"[('John Demartini', 'People, including fictional')]","[('John', 'B-PER'), ('De', 'I-PER'), ('##mart', 'I-PER')]"
80,"We book UBER, Receive call from Driver on Uber app ( Can't be recorded ), Driver ask about Destination.Passes by fr https://t.co/X96A616UoE",NEGATIVE,"[('UBER', 'Companies, agencies, institutions, etc.'), ('Driver', 'Companies, agencies, institutions, etc.'), ('Driver', 'Companies, agencies, institutions, etc.')]","[('U', 'B-MISC')]"
